id,code,name,phase,description,recommend,status,duration,cost,est_duration_min,est_duration_max,est_cost_min,est_cost_max,category,predecessor,ptype,task_landing _page,task_tips,manual_ind,task_type,created_date,updated_date
1,gl001,בחירת איזור של הנכס,01_goals,"בחירת איזור או מספר איזורים מועדפים למיקום הנכס. ישנם מגוון שיקולים לבחירה של מקום המגורים. להלן מספר שאלות מרכזיות אותן עליך לשאול בתהליך בחירת האיזור: 
1. סוג הישוב - האם נכון עבורכם לגור בעיר או בישוב כפרי? קיבוץ, כפר או ישוב קהילתי?
2. מה איזור המגורים הנכון - לעיתים קרובות מושפע משיקולי מיקום משפחה, מקום עבודה, תרבות, נגישות ועוד. 
3. רמת מחיר - מהי רמת המחירים אותה תוכל להשקיע בנכס? אל תשכח לקחת בחשבון גם את רמת המחיר לאחר הרכישה (לדוגמה, עלויות אחזקה של הנכס, מיסי ועד בית או מיסיי ישוב, ארנונה ועוד)
4. נגישות - עד כמה חשובה לך הנגישות של מקום המגורים לאיזורים נוספים ואיזה. באיזה תחבורה תשתמש - ציבורית או פרטית. מה הנגישות הנדרשת לבני המשפחה האחרים ובכלל זה לילדים.    
5. מהו החתך הסוציו אקונומי בישוב.  
6. חינוך ותרבות - מהם צרכי החינוך והתרבות של המשפחה, והאם מקום המגורים נותן להם מענה . 
7. בילויים - מה הבילויים המתאימים למשפחתך ומה הנגישות אליהם ממקום הנכס. ",מדלן,,,,0,0,0,0,customer,,"ApBuyChoose, HouBuyChoose, HouBldChoose",,"{:|בתי ספר באיזור| => |https://www.madlan.co.il/article/buyingApartment_schools| , :|אפשרויות לקניית דירה| => |https://www.madlan.co.il/article/buyingApartment_opinions| , :|מידע תיכנון| => |https://www.madlan.co.il/article/urbanPlanningIntro|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
2,gl002,הגדרת תקציב,01_goals,"הגדר מהו התקציב הזמין עבורך עבור הפרויקט, מתחילתו ועד השלמתו","יש לקחת בחשבון את הנושאים הבאים
1. עלות הנכס או הקרקע
2. עלות הבניה או השיפוץ
3. מיסים - מס רכישה, מס מכירה, דמי פיתוח, מס השבחה
4. תשלום לנותני שירותים בתהליך - עורך הדין, המתווך
5. עלות היועצים השונים - אדריכל, מעצב פנים, ועוד
6. תכולה - רכישת רהיטים, כלים ועוד. ",,,,0,0,0,0,customer,,"ApBuyChoose, ApBuyPlanExe, ApBuyExe, ApRemPlanExe, ApRemExe, HouBuyChoose, HouBuyPlanExe, HouBuyExe, HouBldChoose, HouBldPlanExe, HouBldExe, HouIntRemPlanExe, HouIntRemExe, HouExtRemPlanExe, HouExtRemExe",,"{:|תקציב בניית בית פרטי| => |http://www.levidar.co.il/private-residential-construction/budgeting/| , :|מחשבון - איזה בית אני יכול לקנות| => |http://www.madlan.co.il/mortgage/feasibleBudget| , :|| => ||  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
3,gl003,הגדרת סוג הנכס,01_goals,ישנם סוגים שונים של מקומות מגורים. לכל סוג ישנם יתרונות וחסרונות. מהו סוג הנכס הנכון עבורך? בית פרטי או דירה? קנייה של נכס מוכן או קניית מגרש ובנייה עצמית?,0,,,,0,0,0,0,customer,,"ApBuyChoose, HouBuyChoose, HouBldChoose",,"{:|מאמר - בית או דירה| => |http://www.nadlan.com/magazine/article/%D7%9E%D7%92%D7%95%D7%A8%D7%99%D7%9D_%D7%91%D7%93%D7%99%D7%A8%D7%94_%D7%91%D7%91%D7%A0%D7%99%D7%99%D7%9F_%D7%90%D7%95_%D7%91%D7%91%D7%99%D7%AA_%D7%A4%D7%A8%D7%98%D7%99_%D7%A2%D7%9C_%D7%94%D7%A7%D7%A8%D7%A7%D7%A2| , :|| => || }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
4,FI001,בנק מממן,02_finance,"בחירת הגורם המממן על ידי גוף יעוץ משכנתאות חיצוני, על פי התנאים המגבלות כפי שהוגדרו","רצוי לבצע את תהליך לקיחת המשכנתה באמצעות איש מקצוע שיעזור לכם בהחלטה על סוג ההלוואה אותו אתם לוקחים, בחירת הגוף המממן וניהול התהליך עד לקבלת האישור",,,,0,0,0,0,financing_bank,,"ApBuyChoose, HouBuyChoose, HouBldChoose",,"{:|בחירת בנק משכנתאות| => |http://www.vider.co.il/the_complete_guide/%D7%AA%D7%94%D7%9C%D7%99%D7%9A-%D7%A7%D7%91%D7%9C%D7%AA-%D7%9E%D7%A9%D7%9B%D7%A0%D7%AA%D7%90/%D7%91%D7%97%D7%99%D7%A8%D7%AA-%D7%91%D7%A0%D7%A7-%D7%9C%D7%9E%D7%A9%D7%9B%D7%A0%D7%AA%D7%90%D7%95%D7%AA/| , :|בחירת משכנתה| => |http://www.hon.co.il/%D7%91%D7%97%D7%99%D7%A8%D7%AA-%D7%94%D7%9E%D7%A9%D7%9B%D7%A0%D7%AA%D7%90/| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
5,FI002,שמאות,02_finance,"ביקור שמאי מטעם הבנק המממן, ע״מ להעריך את שווי הנכס ואישור הקצאת הסכום הראשוני לבנייה",0,,,,0,0,0,0,appraising,,"ApBuyChoose, HouBuyChoose, HouBldChoose",,{:|איך גורמים לשמאי להעריך את הנכס נכון| => |http://www.simplemortgage.co.il/articles/%D7%90%D7%99%D7%9A-%D7%92%D7%95%D7%A8%D7%9E%D7%99%D7%9D-%D7%9C%D7%A9%D7%9E%D7%90%D7%99-%D7%A9%D7%9C-%D7%94%D7%91%D7%A0%D7%A7-%D7%9C%D7%94%D7%A2%D7%A8%D7%99%D7%9A-%D7%90%D7%AA-%D7%94%D7%A0%D7%9B%D7%A1/| },,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
6,PU001,בדיקת התאמת המגרש לצרכים,03_purchase,"בחן את התאמת השטח לרצונות ולצרכים - גודל השטח, איכות השטח מבחינת הצורה שלו , כיווני אויר ואיכות השטח.",0,,,,180,360,5000,30000,customer,,HouBldChoose,,"{:|מה חשוב לבדוק ברכישת מגרש או בית| => |http://www.rk-law.co.il/%D7%9E%D7%94-%D7%97%D7%A9%D7%95%D7%91-%D7%9C%D7%91%D7%93%D7%95%D7%A7-%D7%9C%D7%A4%D7%A0%D7%99-%D7%A8%D7%9B%D7%99%D7%A9%D7%AA-%D7%9E%D7%92%D7%A8%D7%A9-%D7%90%D7%95-%D7%91%D7%99%D7%AA-%D7%A6%D7%9E%D7%95/| , :|בדיקות לפני רכישת נכס  - נקודת מבט משפטית| => |http://www.menikoren.co.il/bdikot1| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
7,PU002,בדיקת תכנונית של המגרש ,03_purchase,"שלוף את תיק מידע של הנכס במחלקת הנדסה של העירייה או הרשות המקומית. בתיק המידע ניתן יהיה לבדוק מה נין לעשות על המבנה  מה זכויות הבניה, מה התב""ע של השטח - כלומר מה ניתן יהיה לבנות בו בעתיד. 
יש לבדוק בתיק המידע האם ישנן תשתיות ציבוריות העוברות במגרש (לדוגמה קווי טלפון, כבלים, חשמל ועוד)
ניתן ללמוד מתיק המידע על ההיסטוריה של הנכס - מי היו הבעלים הקודמים, האם נעשו בו שינויים משמעותיים במהלך השנים, ועוד
כמו כן מומלץ לבדוק את הסביבה הקרובה - מה מתוכנן במגרשים הסמוכים? האם יש שינויים משמעותיים הצפויים באיזור. 
ניתן לעשות את הבדיקה הנ""ל באופן עצמאי על ידיד פניה למחלקת ההנדסה של הרשות המקומית , או לבקש מאיש מקצוע (אדריכל ,מנהל פרויקט וכדומה) לסייע בבדיקה. ",0,,,,180,360,5000,30000,customer,,"HouBuyChoose, HouBldChoose, HouExtRemPlanExe, ",,"{:|מדריך עורך דין לבדיקת בית| => |http://www.rk-law.co.il/%D7%9E%D7%94-%D7%97%D7%A9%D7%95%D7%91-%D7%9C%D7%91%D7%93%D7%95%D7%A7-%D7%9C%D7%A4%D7%A0%D7%99-%D7%A8%D7%9B%D7%99%D7%A9%D7%AA-%D7%9E%D7%92%D7%A8%D7%A9-%D7%90%D7%95-%D7%91%D7%99%D7%AA-%D7%A6%D7%9E%D7%95/| , :|מדריך לרכישת דירה| => |http://www.menikoren.co.il/bdikot1| }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
8,PU003,בדיקה משפטית של השטח,03_purchase,"לאחר בחירת המגרש אותו תרצה לרכוש ובטרם תבצע את הרכישה, יש לוודא שהנכס אכן שייך לבעליו, לבדוק שעבודים, רישום בטאבו וכו׳",0,,,,30,60,10000,25000,legal,,HouBldChoose,,"{:|הפקת נסח טאבו| => |http://www.justice.gov.il/Units/LandRegistration/OnlineServices/Pages/ProductionInformation.aspx| , :|בקשה לרישום זכות בנכס| => |http://www.land.gov.il/ishurZchuyot/agrotRashi.aspx?op=agrIshurZchuiot| , :|מה חשוב לבדוק לפני רכישת בית פרטי| => |http://www.rk-law.co.il/%D7%9E%D7%94-%D7%97%D7%A9%D7%95%D7%91-%D7%9C%D7%91%D7%93%D7%95%D7%A7-%D7%9C%D7%A4%D7%A0%D7%99-%D7%A8%D7%9B%D7%99%D7%A9%D7%AA-%D7%9E%D7%92%D7%A8%D7%A9-%D7%90%D7%95-%D7%91%D7%99%D7%AA-%D7%A6%D7%9E%D7%95/|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
9,PU004,בדיקת משפטית של החברה המשכנת,03_purchase,"לאחר בחירת הדירה אותה תרצה לרכוש, יש לוודא את מצבה המשפטי של החברה המשכנת, על מנת להבטיח שאין סיכון מיותר בקניית הנכס",0,,,,0,0,0,0,legal,,ApBuyChoose,,"{:|מה חשוב לבדוק בקניית דירה מקבלן| => |http://www.ask-tal.co.il/%D7%91%D7%93%D7%99%D7%A7%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9E%D7%A7%D7%91%D7%9C%D7%9F| , :|מדריך רכישת דירת מקבלן ודירה יד שניה
| => |http://www.diogines.co.il/assets/| , :|טיפים וצעדים ראשונים לקניית דירה מקבלן| => |https://www.madlan.co.il/article/buyingTips|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
10,PU005,בדיקה משפטית של הנכס,03_purchase,"לאחר בחירת הדירה אותה תרצה לרכוש, יש לוודא שהנכס אכן שייך לבעליו, לבדוק שעבודים, רישום בטאבו וכו׳",0,,,,0,0,0,0,legal,,ApBuyChoose,,"{:|מה חשוב לבדוק בקניית דירה מקבלן| => |http://www.ask-tal.co.il/%D7%91%D7%93%D7%99%D7%A7%D7%AA-%D7%93%D7%99%D7%A8%D7%94-%D7%9E%D7%A7%D7%91%D7%9C%D7%9F| , :|| => |http://www.diogines.co.il/assets/| , :|| => |https://www.madlan.co.il/article/buyingTips|  }",,,2017-06-29 00:00:00.000000,2017-06-29 00:00:00.000000
